AUTEUR, BABELIO, SENS CRITIQUE
Adrevon Jean Pierre, Le Monde enfin, https://www.babelio.com/livres/Andrevon-Le-Monde-enfin/263277,https://www.senscritique.com/livre/le_monde_enfin/183961
Bacigalupi Paolo, La fille automate, https://www.babelio.com/livres/Bacigalupi-La-fille-automate/343518, https://www.senscritique.com/livre/la_fille_automate/488224
Baqué Joël, La Fonte des glaces, https://www.babelio.com/livres/Baque-La-Fonte-des-glaces/965855, https://www.senscritique.com/livre/La_fonte_des_glaces/25424953
Barnes John, La mère des tempêtes,https://www.babelio.com/livres/Barnes-La-mere-des-tempetes/100544, https://www.senscritique.com/livre/la_mere_des_tempetes/388604
Baxter Stephen, Déluge,https://www.babelio.com/livres/Baxter-Deluge/175131, https://www.senscritique.com/livre/Deluge/481074
Blondel Jean-Philippe, Il est encore temps,https://www.babelio.com/livres/Blondel-Il-est-encore-temps-/1231532, https://www.senscritique.com/livre/Il_est_encore_temps/42462148
Boyle T.C., Un ami de la Terre, https://www.babelio.com/livres/Boyle-Un-ami-de-la-terre/52425, https://www.senscritique.com/livre/un_ami_de_la_terre/492584
Crichton Michael, Etat d’urgence, https://www.babelio.com/livres/Crichton-tat-durgence/4953, https://www.senscritique.com/livre/etat_d_urgence/204192
Djian Philippe, 2030, https://www.babelio.com/livres/Djian-2030/1236684,https://www.senscritique.com/livre/2030/42433623 
Ducrozet Pierre, Le grand vertige, https://www.babelio.com/livres/Ducrozet-Le-grand-vertige/1238771, https://www.senscritique.com/livre/le_grand_vertige/42425594
Hall Sarah, Sœurs dans la guerre, https://www.babelio.com/livres/Hall-Soeurs-dans-la-guerre/1323960, https://www.senscritique.com/livre/Soeurs_dans_la_guerre/44819701
Kingsolver Barbara, Dans la lumière, https://www.babelio.com/livres/Kingsolver-Dans-la-lumiere/499634, https://www.senscritique.com/livre/Dans_la_lumiere/10544276
Lessing Doris, Mara et Dann, https://www.babelio.com/livres/Lessing-Mara-et-Dann/48555, https://www.senscritique.com/livre/mara_et_dann/155187 
Leboulanger Camille, Malboire, https://www.babelio.com/livres/Leboulanger-Malboire/1059739,https://www.senscritique.com/livre/malboire/35993905 
Ligny Jean-Marc, AquaTM, https://www.babelio.com/livres/Ligny-Aqua-TM/17864 ,https://www.senscritique.com/livre/aquatm/390658 
Ligny Jean-Marc, Exodes, https://www.babelio.com/livres/Ligny-Exodes/386033, https://www.senscritique.com/livre/exodes/444715
Ligny Jean-Marc, Semences, https://www.babelio.com/livres/Ligny-Semences/775626, https://www.senscritique.com/livre/semences/17050185
Lloyd Saci, Carbon diaries 2015, https://www.babelio.com/livres/Lloyd-The-Carbon-Diaries-tome-1--2015/374225, https://www.senscritique.com/livre/carbon_diaries_2015/8193795
Lunde Maja, La Fin des océans (Bleue), https://www.babelio.com/livres/Lunde-La-fin-des-oceans-Bleue/1264579, https://www.senscritique.com/livre/Bleue/39704053
McEwan Ian, Solaire, https://www.babelio.com/livres/McEwan-Solaire/245896, https://www.senscritique.com/livre/solaire/473272
Murrail Lorris, Soleil Trouble, https://www.babelio.com/livres/Murail-Soleil-trouble/1266180, https://www.senscritique.com/livre/Soleil_trouble/46218471
Rich Nathaniel, Paris sur l’avenir, https://www.babelio.com/livres/Rich-Paris-sur-lavenir/758281, https://www.senscritique.com/livre/paris_sur_l_avenir/15974659
Robinson Kim Stanley, New York 2140, https://www.babelio.com/livres/Robinson-New-York-2140/981890, https://www.senscritique.com/livre/New_York_2140/21942461
Robinson Kim Stanley, 50° au-dessous de zéro, https://www.babelio.com/livres/Robinson-50-au-dessous-de-zero/155290, https://www.senscritique.com/livre/50deg_au_dessous_de_zero/109252
Robinson Kim Stanley, 60 jours et après, https://www.babelio.com/livres/Robinson-60-Jours-et-apres/110775, https://www.senscritique.com/livre/60_jours_et_apres/10929434
Robinson Kim Stanley, Les 40 signes de la pluie, https://www.babelio.com/livres/Robinson-Les-quarante-signes-de-la-pluie/155289, https://www.senscritique.com/livre/les_quarante_signes_de_la_pluie/176141
Self Will, Le livre de Dave, https://www.babelio.com/livres/Self-Le-livre-de-Dave/191335, https://www.senscritique.com/livre/Le_Livre_de_Dave/438358 
Shusterman Jarod, Dry, https://www.babelio.com/livres/Shusterman-Dry/1073511,https://www.senscritique.com/livre/Dry/37711881
Silverberg Robert, Ciel brûlant de minuit, https://www.babelio.com/livres/Silverberg-Ciel-brulant-de-minuit/28008,https://www.senscritique.com/livre/Ciel_brulant_de_minuit/400105
Spinrad Norman, Bleue comme une orange, https://www.babelio.com/livres/Spinrad-Bleue-comme-une-orange/86195, https://www.senscritique.com/livre/Bleue_comme_une_orange/403913
Sterling Bruce, Gros temps, https://www.babelio.com/livres/Sterling-Gros-temps/62744, https://www.senscritique.com/livre/Gros_temps/467191
Watkins Claire Vaye, Les Sables de l’Amargosa, https://www.babelio.com/livres/Vaye-Watkins-Les-sables-de-lAmargosa/965868, https://www.senscritique.com/livre/Les_sables_de_l_Amargosa/25380848
Wright Ronald, Chronique des jours à venir, https://www.babelio.com/livres/Wright-Chronique-des-jours-a-venir/48791, https://www.senscritique.com/livre/chronique_des_jours_a_venir/65026
